identifier	name	namespace	description	class
GO:0016011	dystroglycan complex	cellular_component	A protein complex that includes alpha- and beta-dystroglycan, which are alternative products of the same gene; the laminin-binding component of the dystrophin-associated glycoprotein complex, providing a link between the subsarcolemmal cytoskeleton (in muscle cells) and the extracellular matrix. Alpha-dystroglycan is an extracellular protein binding to alpha-laminin and to beta-dystroglycan; beta-dystroglycan is a transmembrane protein which binds alpha-dystroglycan and dystrophin.	GOTerm
GO:0031630	regulation of synaptic vesicle fusion to presynaptic membrane	biological_process	Any process that modulates the frequency, rate or extent of synaptic vesicle fusion to the presynaptic membrane.	GOTerm
GO:0016012	sarcoglycan complex	cellular_component	A protein complex formed of four sarcoglycans plus sarcospan; there are six known sarcoglycans: alpha-, beta-, gamma-, delta-, epsilon- and zeta-sarcoglycan; all are N-glycosylated single-pass transmembrane proteins. The sarcoglycan-sarcospan complex is a subcomplex of the dystrophin glycoprotein complex, and is fixed to the dystrophin axis by a lateral association with the dystroglycan complex.	GOTerm
GO:0018675	(S)-limonene 6-monooxygenase activity	molecular_function	Catalysis of the reaction: (-)-limonene + NADPH + H+ + O2 = (-)-trans-carveol + NADP+ + H2O.	GOTerm
GO:0016013	syntrophin complex	cellular_component	A protein complex that includes alpha-, beta1-, beta2-syntrophins and syntrophin-like proteins; the syntrophin complex binds to the second half of the carboxy-terminal domain of dystrophin; also associates with neuronal nitric oxide synthase.	GOTerm
GO:0030301	cholesterol transport	biological_process	The directed movement of cholesterol, cholest-5-en-3-beta-ol, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.	GOTerm
GO:0032964	collagen biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%).	GOTerm
GO:0016015	morphogen activity	molecular_function	Acts as a trigger for a pattern specification process when present at a specific concentration within a gradient.	GOTerm
GO:0018676	(S)-limonene 7-monooxygenase activity	molecular_function	Catalysis of the reaction: (4S)-limonene + H(+) + NADPH + O(2) = (4S)-perillyl alcohol + H(2)O + NADP(+).	GOTerm
GO:0030300	regulation of intestinal cholesterol absorption	biological_process	Any process that modulates the frequency, rate or extent of absorption of cholesterol into the blood, and the exclusion of other sterols from absorption.	GOTerm
GO:0032962	positive regulation of inositol trisphosphate biosynthetic process	biological_process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of inositol trisphosphate.	GOTerm
GO:0032963	collagen metabolic process	biological_process	The chemical reactions and pathways involving collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%).	GOTerm
GO:0030302	deoxynucleotide transport	biological_process	The directed movement of a deoxynucleotide, a deoxyribonucleoside in ester linkage to phosphate, commonly at the 5' position of deoxyribose, into, out of or within a cell.	GOTerm
GO:0042306	regulation of protein import into nucleus	biological_process	Any process that modulates the frequency, rate or extent of movement of proteins from the cytoplasm to the nucleus.	GOTerm
GO:0042307	positive regulation of protein import into nucleus	biological_process	Any process that activates or increases the frequency, rate or extent of movement of proteins from the cytoplasm into the nucleus.	GOTerm
GO:0042308	negative regulation of protein import into nucleus	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the movement of proteins from the cytoplasm into the nucleus.	GOTerm
GO:0006691	leukotriene metabolic process	biological_process	The chemical reactions and pathways involving leukotriene, a pharmacologically active substance derived from a polyunsaturated fatty acid, such as arachidonic acid.	GOTerm
GO:0042309	homoiothermy	biological_process	Any homoeostatic process in which an organism maintains its internal body temperature at a relatively constant value. This is achieved by using metabolic processes to counteract fluctuations in the temperature of the environment.	GOTerm
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	molecular_function	Catalysis of the reaction: an aldehyde + NAD(P)+ + H2O = an acid + NAD(P)H + H+.	GOTerm
GO:0006690	icosanoid metabolic process	biological_process	The chemical reactions and pathways involving icosanoids, any of a group of C20 polyunsaturated fatty acids.	GOTerm
GO:0004032	alditol:NADP+ 1-oxidoreductase activity	molecular_function	Catalysis of the reaction: an alditol + NADP+ = an aldose + NADPH + H+.	GOTerm
GO:0006695	cholesterol biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.	GOTerm
GO:0004031	aldehyde oxidase activity	molecular_function	Catalysis of the reaction: an aldehyde + H2O + O2 = a carboxylic acid + hydrogen peroxide.	GOTerm
GO:0005362	low-affinity glucose:sodium symporter activity	molecular_function	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: glucose(out) + Na+(out) = glucose(in) + Na+(in). In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations.	GOTerm
GO:0006693	prostaglandin metabolic process	biological_process	The chemical reactions and pathways involving prostaglandins, any of a group of biologically active metabolites which contain a cyclopentane ring due to the formation of a bond between two carbons of a fatty acid. They have a wide range of biological activities.	GOTerm
GO:0004034	aldose 1-epimerase activity	molecular_function	Catalysis of the reaction: alpha-D-glucose = beta-D-glucose. Also acts on L-arabinose, D-xylose, D-galactose, maltose and lactose.	GOTerm
GO:0043631	RNA polyadenylation	biological_process	The enzymatic addition of a sequence of adenylyl residues at the 3' end of an RNA molecule.	GOTerm
GO:0004033	aldo-keto reductase (NADP) activity	molecular_function	Catalysis of the reaction: an alcohol + NADP+ = an aldehyde or a ketone + NADPH + H+.	GOTerm
GO:0006694	steroid biosynthetic process	biological_process	The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification.	GOTerm
GO:0005367	myo-inositol:sodium symporter activity	molecular_function	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: myo-inositol(out) + Na+(out) = myo-inositol(in) + Na+(in).	GOTerm
